Label,# Samples,Average,Median,90% Line,98% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Launch Login Page,10,1195,1191,1249,1276,1276,1129,1276,0.000%,1.74004,12.31,0.92
Submit Name and Email,10,384,363,390,590,590,340,590,0.000%,2.02593,38.73,3.22
Full Signup Page,10,878,878,924,984,984,787,984,0.000%,1.81719,12.91,8.45
Get Account Created Page,10,346,343,358,368,368,323,368,0.000%,1.96696,12.20,1.30
User Registration Flow,10,2803,2805,2916,2986,2986,2599,2986,0.000%,1.34644,53.18,10.00
Browse All Products,10,445,401,480,728,728,363,728,0.000%,1.82548,86.82,1.19
View Product Details,10,389,379,418,495,495,345,495,0.000%,1.85048,23.45,1.23
AddingProductToCart,10,392,370,421,579,579,340,579,0.000%,1.84332,1.37,1.25
View Cart,10,402,373,401,682,682,346,682,0.000%,1.83824,18.27,1.20
Proceed to Checkout,10,366,362,383,396,396,349,396,0.000%,1.84332,17.76,1.21
GetPaymentPage,10,375,356,380,557,557,336,557,0.000%,1.83419,15.25,1.30
PostPaymentPage,10,1767,1748,1800,2043,2043,1692,2043,0.000%,1.45645,10.33,2.36
LogOut,10,749,717,796,962,962,667,962,0.000%,1.69205,13.48,2.21
Debug Sampler,10,0,0,1,1,1,0,1,0.000%,1.91534,1.66,0.00
Post Signup Journey,10,4889,4777,5141,5186,5186,4660,5186,0.000%,1.00847,105.68,7.00
TOTAL,150,1025,400,2805,5044,5141,0,5186,0.000%,11.91043,229.14,22.81
