Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Launch Login Page,10,1195,1129,1276,44.27,0.000%,1.74004,12.31,0.92,7245.2
Submit Name and Email,10,384,340,590,70.05,0.000%,2.02593,38.73,3.22,19577.8
Full Signup Page,10,878,787,984,53.33,0.000%,1.81719,12.91,8.45,7272.4
Get Account Created Page,10,346,323,368,12.59,0.000%,1.96696,12.20,1.30,6351.4
User Registration Flow,10,2803,2599,2986,117.55,0.000%,1.34644,53.18,10.00,40446.8
Browse All Products,10,445,363,728,100.37,0.000%,1.82548,86.82,1.19,48702.4
View Product Details,10,389,345,495,42.19,0.000%,1.85048,23.45,1.23,12975.0
AddingProductToCart,10,392,340,579,65.87,0.000%,1.84332,1.37,1.25,759.0
View Cart,10,402,346,682,94.83,0.000%,1.83824,18.27,1.20,10176.0
Proceed to Checkout,10,366,349,396,15.72,0.000%,1.84332,17.76,1.21,9867.8
GetPaymentPage,10,375,336,557,62.00,0.000%,1.83419,15.25,1.30,8515.4
PostPaymentPage,10,1767,1692,2043,96.66,0.000%,1.45645,10.33,2.36,7264.8
LogOut,10,749,667,962,81.47,0.000%,1.69205,13.48,2.21,8156.2
Debug Sampler,10,0,0,1,0.46,0.000%,1.91534,1.66,0.00,887.9
Post Signup Journey,10,4889,4660,5186,204.95,0.000%,1.00847,105.68,7.00,107304.5
TOTAL,150,1025,0,5186,1243.37,0.000%,11.91043,229.14,22.81,19700.2
